yyyyq,y,dp,dy,ep,bm,ntis,tbl,ltr,tms,dfy,infl,ik
19511,0.01864991881045480,-1.148570185,-1.127999417,-0.878627338,0.7813946,0.032686771,0.014,-0.017317126,0.0101,-0.0045,0.032,0.033301004
19512,-0.00921769803962471,-1.12826668,-1.137289175,-0.886822374,0.800362677,0.036341121,0.0145,-0.01927496,0.0114,-0.0055,0.003875969,0.033484431
19513,0.03976676194653980,-1.184766122,-1.13954769,-0.966935989,0.716182328,0.028799506,0.0163,0.015645927,0.009,-0.0062,0.007722008,0.03357894
19514,0.00508015029854663,-1.226810069,-1.217390598,-0.988639355,0.721316347,0.036150788,0.0173,-0.018636657,0.0096,-0.006,0.01532567,0.032605748
19521,0.00867271779735818,-1.234567185,-1.223740837,-1.006644287,0.751874119,0.032094137,0.0159,0.015350584,0.0104,-0.0055,-0.00754717,0.032483029
19522,0.00847521866527744,-1.235876579,-1.225487527,-1.028028724,0.738715088,0.02773127,0.017,0.014047693,0.0089,-0.0056,0.007604563,0.032601904
19523,-0.00881477338859204,-1.228506556,-1.235876579,-1.016962555,0.748678911,0.031038055,0.0171,-0.021869182,0.0106,-0.0057,0.00754717,0.029432133
19524,0.02977814967274290,-1.275172442,-1.240655446,-1.044180313,0.694073313,0.026534716,0.0209,0.004563611,0.007,-0.0054,0,0.031939347
19531,-0.02251331375869460,-1.253729717,-1.275172442,-1.017342556,0.762496874,0.024013353,0.0201,-0.016244348,0.0093,-0.0045,-0.003745318,0.033464986
19532,-0.02123529417745040,-1.230448921,-1.250660485,-0.983063544,0.795496906,0.0274619,0.0211,-0.003405325,0.009,-0.0046,0.007518797,0.033408505
19533,-0.01557397512749250,-1.215998541,-1.230448921,-0.961746704,0.808210877,0.025876606,0.0179,0.033089477,0.0105,-0.0059,0.003731343,0.033880513
19534,0.02363500235862310,-1.233258762,-1.206918883,-0.994953043,0.759700961,0.024822272,0.016,0.023114493,0.0114,-0.0061,0,0.03317577
19541,0.03305964103356830,-1.263080257,-1.22730943,-1.023857411,0.804915818,0.022093476,0.0103,0.039105659,0.0175,-0.0065,0,0.03192281
19542,0.03240660092906610,-1.304163555,-1.269029589,-1.047230266,0.732467844,0.018357419,0.0064,0.017935755,0.0208,-0.0059,0,0.031370638
